nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
hòe-siū,huè-siū,壽命,the natural term of life
tn̂g hòe-siū,tn̂g huè-siū,長壽,enjoy a long life
té hòe-siū,té huè-siū,短命,to die young
hôe-ōe | thong-e̍k,huê-uē | thong-i̍k,通譯,to interpret
Chhiáⁿ lí kā góa hôe-ōe (or thong-e̍k) hó--bô?,,請你替我通譯好不好？,How about you interpreting for me?
hôe-siūⁿ,huê-siūnn,和尚,a Buddhist monk
hôe-siūⁿ-sī,huê-siūnn-sī,和尚寺,a Buddhist monk's temple
hoeh | huih,hueh | huih,血,blood
lâu-hoeh | lâu-huih,lâu-hueh | lâu-huih,流血,to bleed
hoeh-kńg | huih-kin,hoeh-kńg | huih-kin,血管,a blood vessel
hok-khì,hok-khì,福氣,happy | happiness
chin ū hok-khì,tsin ū hok-khì,很福氣,very fortunate
ho̍k-sāi,ho̍k-sāi,奉仕 | 祭祀,to worship | to serve
"Lí tio̍h-ài ho̍k-sāi chiàⁿ sîn, m̄-thang ho̍k-sāi siâ sîn.",,你應該要奉仕正神，不可奉仕邪神,"You should worship the true spirit, you should not worship false gods."
ho̍k-si̍p | un-si̍p,ho̍k-si̍p | un-si̍p,溫習,to review
"Kin-ná-ji̍t tha̍k chit khò, eng-àm tio̍h-ài ē-kì-tit ho̍k-si̍p.",,今天念的這一課，晚上記得要復習,"This lesson which we are studying today, you must remember to review tonight."
ho̍k-siû,ho̍k-siû,復讐,to revenge
ho̍k-chit,ho̍k-tsit,復職,resume office | reappointment
"I téng lé-pài sî-chit, chit lé-pài koh ho̍k-chit.",,他上星期辭職，這星期又復職,"He resigned from office last week, and this week he resumed office."
ho̍k-kū,ho̍k-kū,復舊,restore to the original state | restoration
"Hit keng chhù sio--khì, boeh ho̍k-kū bô hiah khoài.",,那間房子燒毀了，復舊不會那麽快,That house was burnt down; it won’t be so easy to restore it.
ho̍k-heng,ho̍k-hing,復興,to reconstruct | renaissance
Ji̍t-pún chiàn-āu ê ho̍k-heng (teh ho̍k-heng) chin kín.,,日本戰後復興很快,Reconstruction in Japan after the war was very rapid.
ho̍k-hoa̍t | ho̍k-oa̍h,ho̍k-hua̍t | ho̍k-ua̍h,復活,revival | come to life again
ho̍k-hoa̍t-chiat | ho̍k-oa̍h-chiat,ho̍k-hua̍t-tsiat | ho̍k-ua̍h-tsiat,復活節,Easter
ho̍k-cha̍p,ho̍k-tsa̍p,複雜,complexity | complicated
Chhiú-sio̍k chin ho̍k-cha̍p.,,手續很複雜,The procedure is very complicated. There is a lot of red tape to this.
ho̍k-mo̍h-iām,ho̍k-mo̍h-iām,腹膜炎,Peritonitis
ho̍k-chiông,ho̍k-tsiông,服從,to obey | obedience | to submit to
Lí tio̍h-ài ho̍k-chiông pē-bú.,,你要服從父母,You must obey your parents.
ho̍k-bū,ho̍k-bū,服務,to serve | in (public) service
Lí tī toh-ūi teh ho̍k-bū?,,你在何處服務？,Where are you serving?
ho̍k-bū sî-kan,ho̍k-bū sî-kan,服務時間,office (business) hours
Ho̍k-bū sî-kan sī chái-khí-sî peh tiám kàu ē-po͘-sî gō͘-tiám.,,服務時間從上午八時到下午五時,Office hours are from 8:00 A.M. to 5:00 P.M.
Ho̍k-bū sî-kan bē ēng tit cháu chhut-khì chhit-thô.,,在服務時間内不得跑出去玩,It is not permitted to go out for recreation during office hours.
hok-im,hok-im,福音,a Gospel
"Lí nā lâi thiaⁿ hok-im, chiū bē hoân-ló tang hoân-ló sai.",,你來聽福音，就不會有煩惱,"If you listen to the (reading of) the Gospel, you won’t worry about everything under the sun."
hōng-kàu,hōng-kàu,奉教,to believe in a religion
hōng-kàu-lâng,hōng-kàu-lâng,奉教人,Catholics | Christian
hóng-būn,hóng-būn,訪問,to visit
Lí tang-sî boeh hóng-būn kàu-iú?,,你何時要訪問教友？,When will you visit the Christians?
hong,hong,風,wind
hong chin thàu,hong tsin thàu,風很大,to wind is very strong
hong chin tiām,hong tsin tiām,風很靜,very little wind
hong-kó͘,hong-kóo,簸箕機,a winnowing machine
hòng-ká,hòng-ká,放假,vacation | free day
hong-sio̍k,hong-sio̍k,風俗,a custom
Tâi-oân ê hong-sio̍k ū kap Bí-kok kāng khoán--bô?,,台灣的風俗和美國相同嗎？,Are Taiwanese customs the same as American ones?
hông-khong piān,hông-khong piān,航空信,air mail
hong-bīn,hong-bīn,方面,direction | phase
hong-chhioh,hong-tshioh,方尺,square foot
hong-chhoe,hong-tshue,風箏,a kite
pàng hong-chhoe,pàng hong-tshue,放風箏,to fly a kite
hông-tè,hông-tè,皇帝,emperor
hong-phoe | bêng-sìn-phiàn,hong-phue | bîng-sìn-phiàn,封信,a sealed letter
"Hong-phoe ài tah sì kak, bêng-sìn-phiàn ài tah nn̄g kak ê iû-phiò.",,封信要貼四角，明信片要貼二角的郵票,"A sealed letter requires a 40¢ stamp, a postcard requires a 20¢ stamp."
hong-siaⁿ,hong-siann,風聞 | 謠言,a rumor
Góa ū thiaⁿ-kìⁿ hong-siaⁿ kóng lí boeh khì Bí-kok.,,我聽說你要去美國,I heard a rumor that you are going to America.
hong-thâu,hong-thâu,上風,the windward | the direction from which the wind comes
hong-bóe,hong-bué,下風,the lee | the direction towards which the wind blows.
"Lí nā boeh pàng-phùi tio̍h khì hong-bóe, m̄-thang tòa hong-thâu.",,你要放屁得跑到下風的地方，別在上風之地,"If you are going to pass wind, you should stand in the direction towards which the wind blows and not in the direction from which the wind blows."
hòng-tōa,hòng-tuā,放大,to enlarge (a photograph)
Chit tiuⁿ siòng boeh hòng-tōa chiah tōa tiuⁿ.,,這張相片要放這麽大,I want to enlarge this picture as big as this.
hông-hiō | hông-hō͘ | hông-tè-niû,hông-hiō | hông-hōo | hông-tè-niû,皇后,an empress | a queen
hong-thai,hong-thai,颱風,a typhoon | a gale | a hurricane | a storm
hong,hong,封,"to seal up (a letter, a parcel, a box)"
"Chit tiuⁿ phoe chin iàu-kín, tio̍h hong hō͘ hó.",,這封信很要緊，必須好好兒封起來,This is an important letter; seal it up well.
hông-khong-tōng,hông-khong-tōng,防空洞,a bomb shelter | an air raid shelter
hu-jîn,hu-jîn,夫人,lady | madam
chiúⁿ hu-jîn,tsiúnn hu-jîn,蔣夫人,Madame Chiang Kai Shek
hū-jîn-lâng,hū-jîn-lâng,婦人,a lady
hū-bió,hū-bió,父母,parents
hu-hū,hu-hū,夫婦,huaband and wife
hù,hù,赴 | 趕時,to attend
hù sî-kan,hù sî-kan,及時 | 趕時,to be on time
hù hōe,hù huē,赴會,to attend a meeting
"Lí nā boeh hù hōe, tio̍h-ài hù sî-kan chiah hó.",,你若要赴會，就要趕上時間才好,If you want to attend the meeting you should be on time.
hù,hù,副,Vice | second | assistant
hù chóng-thóng,hù tsóng-thóng,副總統,Vice-president
hù hōe-tiúⁿ,hù huē-tiúnn,副會長,Vice-president
hù-sû,hù-sû,副詞,an adverb
hù-sán-bu̍t,hù-sán-bu̍t,副產物,a by-product
hui-ki,hui-ki,飛機,aeroplane
hui-siông,hui-siông,非常,unusual
húi-pòng,huí-pòng,誹謗,to slander | to revile
M̄-thang lām-sám húi-pòng--lâng!,,不可隨便誹謗他人,Don’t revile people at the slightest provocation.
hui-khoài chhia,hui-khuài tshia,飛快車,the diesel train
hùi-khì,huì-khì,麻煩,troublesome
hûi,huî,陶器,China (ware) | crockery | pottery
Chit ê hoe-kan sī hûi--ê.,,這個花瓶是陶器,This vase is Chinaware (pottery or earthenware).
hùi-sîn,huì-sîn,麻煩,I am much obliged | to trouble one to do
Hùi-sîn lí chin kú.,,麻煩你很久,I have taken a lot of your time.
hui-hoat,hui-huat,非法,unlawful | unjust
Hui-hoat ê tāi-chì m̄ thang chò.,,不要做非法的事情,Don’t do things which are against the law.
hui-lé,hui-lé,非禮,impoliteness | rudness
Hui-lé ê ōe m̄ thang kóng.,,非禮勿言,Don’t use rude words.
hui-lí,hui-lí,非理,unreasonableness
Hui-lí ê tāi-chì m̄ thang chò (or kóng).,,非理勿爲（言）,Don’t do anything unreasonable.
hùi-pīⁿ | hì-pēⁿ,huì-pīnn | hì-pēnn,肺病,tuberculosis
hùi-iām | hì-iām,huì-iām | hì-iām,肺炎,pneumonia
kip-sèng ê hùi-iām,kip-sìng ê huì-iām,急性肺炎,acute pneumonia
hui-ki-tiûⁿ,hui-ki-tiûnn,飛機場,an airport | an airdrome
hun,hun,煙 | 烟,tobacco | cigarattes
chia̍h hun,tsia̍h hun,吸烟,to smoke
hun,hun,分,a minute
Saⁿ tiám jī cha̍p gō͘ hun.,,三點二十五分,Twenty five minutes past three.
hūn,hūn,,a small part | a fraction
Saⁿ hūn chi jī or saⁿ hūn jī.,,三分之二,2
Sì hūn chi saⁿ or sì hūn saⁿ.,,四分之三,3
Gō͘ hūn chi sì or gō͘ hūn sì.,,五分之四,4
La̍k hūn chi gō͘ or la̍k hūn gō͘.,,六分之五,5
Chhit hūn chi la̍k or chhit hūn la̍k,,七分之六,6
Peh hūn chi chhit or peh hūn chhit,,八分之七,7
Káu hūn chi peh or káu hūn peh,,九分之八,8
Cha̍p hūn chi káu or cha̍p hūn káu,,十分之九,9
hūn,hūn,股份,a share
Hit khám tiàm góa ū hūn.,,那個店有我的股份,I have a share in that shop.
Bān lâi bô lí ê hūn.,,遲到就沒有你的分,"You came too late, there’s none for you."
hûn,hûn,雲,coluds
hûn-hái,hûn-hái,雲海,a sea of clouds
hún,hún,粉,any kind of powder
mī-hún,mī-hún,麵粉,flour
hoat-hún,huat-hún,發粉 | 酵母,baking powder
thô͘-hún,thôo-hún,土粉 | 塵埃,dust
gû-leng-hún,gû-ling-hún,奶粉,milk powder
hún-pit,hún-pit,粉筆,chalk
hun,hun,分,to divide
"Chiah ê chîⁿ chiàu chit tiuⁿ toaⁿ siá--ê, kā góa hun-khui.",,這些錢照這張單寫的給我分開,Divide this money as written out on this list.
hun-chò,hun-tsò,分做 | 分成 | 分為,to divide into
Bí-kok hun-chò Pak-bí kap Lâm-bí.,,美國分爲北美和南美,America is divided into North and South America.
"Lán lâi hun-chò nn̄g pêng, lâi pâng-kiû ê pí-sài.",,我們分做兩邊來棒球比賽,Let’s divide up into two sides and have a baseball game.
hun,hun,分,a tenth of an inch
hun,hun,分,293.4 [pinn5]
hun-pia̍t,hun-pia̍t,分別 | 區別,to distinguish | difference
"Niau kap hó͘, lí ē-hiáu hun-pia̍t--bē?",,你會區別猫與虎嗎？,Can you tell the difference between a cat and a tiger?
hun,hun,煙,smoke
ē hun,ē hun,燻,smoky
chin hun,tsin hun,多煙,very smoky
"Hóe nā to̍h--khí-lâi, chiū khah bē hun.",,火着了就沒有烟,When the fire gets burning it’s not so smoky.
kúi hun,kuí hun,幾分 | 幾數,How many points or marks in an examination
hún-chiáu,hún-tsiáu,鴿 | 鳩,a pigeon
hun-chiong,hun-tsiong,勳章,honors | confered for loyal services
kat hun-chiong,kat hun-tsiong,配戴勳章,to be decorated
hùn-liān,hùn-liān,訓練,training | practice | to train
khì hùn-liān,khì hùn-liān,入伍受訓,to go into military training
"Lí nā bô cha̍p-hun ê hùn-liān, m̄-thang chhut-khì kap lâng pí-sài.",,你若無充分的訓練，不可出去與人比賽,"If you have not practiced very well, don’t go out and get into a contest with others."
hut-jiân | hut-jiân-kan,hut-jiân | hut-jiân-kan,忽然,suddenly
hut-jiân-kan tiām--khì,hut-jiân-kan tiām--khì,忽然間停了,to stop suddenly
hut-jiân-kan sí--khì,hut-jiân-kan sí--khì,忽然間死了,to die suddenly
hu̍t-kàu,hu̍t-kàu,佛教,Buddhism
i,i,他 | 她,he | she
í-á,í-á,椅子,a chair
i,i,醫 | 醫治,to cure
i-seng,i-sing,醫生 | 醫師,a doctor
ì-sù,ì-sù,意思,idea | meaning
Chit kù ū sím-mih ì-sù?,,這句有什麽意思？,What is the meaning of this word? (sentence or phrase)
í-āu,í-āu,以後,after
í-chêng,í-tsîng,以前,before
"Sîn-hū iáu-bōe chò Mî-sat í-chêng, lí tio̍h-ài chhu (pâi) chè-i.",,"Sîn-hū iáu-bōe chò Mî-sat í-chêng, lí tio̍h-ài chhu (pâi) chè-i.","You must set up the vestments before the priest celebrate Mass. (Here “í-chêng” indicates anytime before Mass, even the night before)."
Sîn-hū boeh chò Mî-sat í-chêng ū lâng-kheh lâi.,,Sîn-hū boeh chò Mî-sat í-chêng ū lâng-kheh lâi.,"Just before the priest was about to celebrate Mass, a visitor came. (Here “í-chêng” indicates just as the priest was on the point of beginning the Mass.)"
í-keng,í-king,已經,already
í-lâi,í-lâi,以來,since
í-gōa,í-guā,以外,except | outside of | besides
Chiah ê mi̍h í-gōa lí iáu ū ài bé sím-mih--bô?,,這些東西以外你還要買什麽東西嗎？,Is there anything else you want to buy besides these?
í-lāi,í-lāi,以內,within
(Tī) Saⁿ ji̍t í-lāi lóng ē chò hó.,,三天以内都會做完,It will all be finished within three days.
í-siōng,í-siōng,以上,more than | above
Nn̄g pah í-siōng ê lâng.,,兩百以上的人,Over two hundred people.
Jī cha̍p it hòe í-siōng ê lâng.,,二十一歲以上的人,Those over twenty one years of age.
í-hā,í-hā,以下,less than | below
Chi̍t chheng í-hā ê lâng.,,一千以下的人,Less than (under) a thousand people.
La̍k-cha̍p-hòe í-hā ê lâng.,,六十歲以下的人,Those under sixty years of age.
só͘-í,sóo-í,所以,therefore
a-î,a-î,姨媽,mother's sisters
î-tiūⁿ,î-tiūnn,姨丈,[a-i5]'s husband
ì-kiàn,ì-kiàn,意見,opinion
Lí ū sím-mih ì-kiàn?,,你有什麽意見？,What is your opinion?
í-toh,í-toh,桌椅,chairs and table | furniture
i-nāi,i-nāi,依賴 | 依靠,to depend in | to reply on
"Lí ka-tī ê tāi-chì tio̍h-ài ka-tī chò, m̄-thang boeh tiāⁿ-tiāⁿ i-nāi pa̍t-lâng kā lí chò.",,你自己的事要自己做，不要時時依賴他人替你做,"You should do your own affairs yourself, don’t always depend on other people to do them for you."
i-ho̍k,i-ho̍k,衣服,clothing | clothes
I koh chò nn̄g su chin hó ê i-ho̍k.,,他又做兩件很好的衣服,He had two more very good suits of clothes made.
ī-soàn,ī-suàn,豫算,"a budget | an estimate | to ask for a budget (Lit. previously, reckon)"
mê-nî ê ì-soàn,mê-nî ê ì-suàn,明年的豫算,a budget for next year
Góa ī-soàn jī cha̍p bān (kho͘) boeh khì chi̍t keng chhù.,,我用二十萬元的豫算想建築一間房子,"I asked for a budget of $200,000.00 to build a house."
ī-giân,ī-giân,豫言,prophecy | foretell | (Lit. beforehand talk)
ū-giân chiá | sian-ti,ū-giân tsiá | sian-ti,豫言者 | 先知,a prophet
Ī-giân-chiá ê ī-giân lóng ū si̍t-hiān.,,豫言者的豫言都有實現,All that the prophets foretold has been realized (fulfilled).
î-bîn,î-bîn,移民,an immigrant | an emigrant
î-tōng,î-tōng,移動,to move from place to place | movement
Chhù lāi ê mi̍h m̄ thang lām-sám î-tōng.,,家裏的東西不要隨便移動,Don’t move the things in the house all around.
Pò͘ Sîn-hū kū-nî î-tōng (tiau-tōng) khì Po͘-lí. (tiàu-tōng?),,佈神父去年調動到埔里,Father Buttino moved to Puli last year.
ì-gī,ì-gī,異議,to oppose | to object | objection
"Ū ì-gī ê lâng, chhiáⁿ lín hoat-piáu ì-kiàn.",,有異議的，請你們發表意見,"Those who have any objection, please state your opinions."
"I kóng ê ōe chin put-ha̍p-lí, só͘-í góa ū kā i ì-gī.",,他講的話很不合理，所以我向他提出異議,"His talk was very unreasonable, so I objected to him."
ì-gī,ì-gī,意義,meaning | signification
Góa boeh kā lín soeh-bêng Sèng-Bó-Kun kî ê ì-gī.,,我要向你們說明（解說）聖母軍旗的意義,I shall explain to you the significance of the Standard of the Legion of Mary.
ì-tiong | sim-lāi,ì-tiong | sim-lāi,意中,"one's thoughts (mind, opinion, intention)"
"I ì-tiong ài lí kā i pang-bâng, tān-sī m̄ káⁿ kóng.",,他心裡想要你帮忙，但是不敢講,He (she) has a girl (boy) in his (her) heart.
I ū chi̍t ê ì-tiong ê lâng.,,他有一個意中人,
ì-gōa,ì-guā,意外 | 意料之外,unexpected | accident
Che sī chin ì-gōa ê tāi-chì.,,這是意外的事情,This is very unexpected.
"Chhia tio̍h siá khah bān, chiah bē hoat-seng ì-gōa.",,車子要駕駛得慢一點，以免發生意外,"The car must be driven slowly, then we shall have no accident (no accident will happen)."
ìⁿ-á,ìnn-á,燕子,a swallow
chi̍t tùi ìⁿ-á,tsi̍t tuì ìnn-á,一對燕子,a pair of swallows
îⁿ soaⁿ-á,înn suann-á,圓山,name of a place | Yuan Shan
îⁿ,înn,圓,round
iaⁿ-á | âng-eⁿ-á,iann-á | âng-enn-á,嬰孩,an infant
īⁿ-toan,īnn-tuan,異端,superstition | heresy
iā,iā,也,also
iâ-so͘ | iâ-so͘ ki-lī-su-tok,iâ-soo | iâ-soo ki-lī-su-tok,耶穌 | 基利斯督,Jesus Christ
iā,iā,播 | 撒,to scatter
iā soa-á,iā sua-á,撒砂,to scatter sand
iā-chí,iā-tsí,播種,to scatter seed
iá-sim,iá-sim,野心,brutal | a brutal plot
So͘-liân ū thóng-it sè-kài ê iá-sim.,,蘇俄有統一世界的野心,The Soviets have a brutal plot for governing the world.
ià,ià,厭倦,to get tired of | be sated with
"Ta̍k tǹg chia̍h kāng-khoán ê chhài, chia̍h liáu ē ià.",,每頓吃同樣的菜，吃得很厭倦,"If we eat the same for every meal, we shall get sick and tired of it."
iá-siù,iá-siù,野獸,wild beasts (animals)
iá-seng,iá-sing,野生,wild | to grow wild
"Chiah ê chhiū-á sī iá-seng--ê, á-sī lâng chèng--ê?",,這些樹木是野生的還是人種的？,Are these trees wild or have they been planted by someone?
iá-bân,iá-bân,野蠻,barbarous | savage | uncivilized
Hit ê lâng chin iá-bân.,,那個人很野蠻,He is uncivilized.
iā-hêng-chhia | iā-khoài-chhia,iā-hîng-tshia | iā-khuài-tshia,夜快車,a night train
iā-ha̍k | iā-kan-pō͘,iā-ha̍k | iā-kan-pōo,夜間部,a night (an evening) school
iā-kéng,iā-kíng,夜景,a night-view
iáⁿ,iánn,影,shadow
tiān-iáⁿ,tiān-iánn,電影,movies
chi̍t chhut tiān-iáⁿ,tsi̍t tshut tiān-iánn,一部電影,a movie
ū iáⁿ,ū iánn,真的,true
bô-iáⁿ,bô-iánn,假的 | 沒有這回事,not true
iâⁿ,iânn,贏,to win | to be superior to
"Iâⁿ m̄-thang siuⁿ hoaⁿ-hí, su iā m̄-bián hoân-ló.",,贏了不可過於歡喜，輸了也不必煩惱,"When you win don’t be too happy; when you lose, you need not worry."
iah | ah,iah | ah,而,and | in a sarcastic sense
"Góa bô chîⁿ, iah lí iā bô chîⁿ, sī--bô?",,我沒有錢而你也沒有錢，是嗎？,"I have no money, and you have none either; right?"
iah-sih,iah-sih,椰子,a coconut
ia̍h,ia̍h,頁,a page
iâm,iâm,鹽,salt
iâm chúi,iâm tsuí,鹽水,salt water
iam,iam,閹 | 去⋯⋯的勢,to geld | to castrate
iam-ke,iam-ke,閹雞,a capon
iàm-sè,iàm-sè,厭世,pessimism (Lit. to loathe the world)
iām,iām,炎 | 然熾,"blazing (fire, sun) (inflammation)"
iām-ji̍t,iām-ji̍t,炎日,the blazing sun
iām-hóe | hóe chin iām,iām-hué | hué tsin iām,炎火 | 燃熾,a blazing fire
