en_GB,es,ja,zh_CN,zh_TW,en_US
Creating LUKS Device,,LUKS デバイスを作成中,正在创建 LUKS 设备,正在建立 LUKS 裝置,Creating LUKS Device
Creating New Event,,,正在创建新的事件,正在建立新事件,Creating New Event
Creating Partition,,パーティションを作成中,正在创建分区,正在建立分割區,Creating Partition
Creating Partition Table,,パーティションテーブルを作成中,正在创建分区表,正在建立分割表,Creating Partition Table
Creating Partitionjob,,パーティションを作成しています 。 job,创建分区job,建立分割區job,Creating Partitionjob
Creating Partitionpart-type,,パーティションを作成しています 。 part-type,创建分区part-type,建立分割區part-type,Creating Partitionpart-type
Creating RAID Arrayunknown-job,,RAID アレイの作成unknown-job,创建 RAID 阵列unknown-job,建立 RAID 陣列unknown-job,Creating RAID Arrayunknown-job
Creating Secure Shell Key,,SSH 鍵の生成,创建 SSH 密钥,正在產生 SSH 金鑰,Creating Secure Shell Key
Creating a Blank Drawable,Crear una imagen vacía,白紙の画像を用意する,,,Creating a Blank Drawable
Creating a Contact,Crear un contacto,,创建联系人,,Creating a Contact
Creating a New Appointment :,Crear una cita nueva :,,创建一个新的约会 ：,,Creating a New Appointment :
Creating a New Contact :,Crear un contacto nuevo :,,创建新的联系人 ：,,Creating a New Contact :
Creating a New Exchange Account,,,创建新的Exchange账户,,Creating a New Exchange Account
Creating a New Project,Crear un proyecto nuevo,新しいプロジェクトを作成する,新建一个工程,建立新的專案,Creating a New Project
Creating a Notebook Template,,,创建笔记本模板,,Creating a Notebook Template
Creating a Sticky Note,,,创建一个置顶便笺,建立一個便條,Creating a Sticky Note
Creating album ...,,,创建相册 ...,正在建立相簿 ...,Creating album ...
Creating archive,,書庫の作成中,创建归档文件,正在建立壓縮檔,Creating archive
Creator,,作者,创建者,製作人,Creator
Creator :,,作者 :,创建者 ：,製作人 ：,Creator :
Creator of the content,,,,內容建立者,Creator of the content
Cree Lake,,クリーレイク,,克利湖,Cree Lake
Creil,,クレー,克里尔,克里爾,Creil
Creil Fafb,,クレー空軍基地,,克里爾 Fafb,Creil Fafb
Crimean Tatar,,,克里米亚鞑靼语,克里米亞韃靼,Crimean Tatar
Criteria,Criterio,検索条件,,,Criteria
Critical,Crítico,重大,危急,重要,Critical
Croatia,Croacia,クロアチア,克罗地亚,克羅埃西亞,Croatia
"Croatia , Kuna","Croacia , kuna","クロアチア , クーナ",克罗地亚 ， 库纳,,"Croatia , Kuna"
Croatian,Croata,クロアチア語,克罗地亚语,克羅埃西亞文,Croatian
Croatian Kuna,,,,克羅埃西亞庫那,Croatian Kuna
Croatian kuna,,,,克羅埃西亞庫那,Croatian kuna
Crockett,,クロケット,克罗基特,克羅克特,Crockett
Croker River,,クロッカーリバー,,克羅卡河,Croker River
Crop,Recortar,切抜き,裁剪,裁剪,Crop
Crop An Image,Recortar una imagen,画像を切り抜く,,,Crop An Image
Crop Layer,Recortar la capa,レイヤーの切り抜き,,,Crop Layer
Crop an image,,取り込み,,,Crop an image
Crop image,Recortar la imagen,切り出された画像,剪裁图像,裁剪圖片,Crop image
Cropping,Recortar,切り抜き,,,Cropping
Crotone,,クロトネ,克罗托内,克羅登,Crotone
Crozon,,,,克勞宗,Crozon
Cruel,,,残忍,,Cruel
Crumble,,,碎片,崩解,Crumble
Crux,,南十字座,十字架,南十字,Crux
"Ctrl + ,",Ctrl,,,,"Ctrl + ,"
Ctrl + .,Ctrl,,,,Ctrl + .
Ctrl + 0,Ctrl,,,,Ctrl + 0
Ctrl + 1,Ctrl,,,,Ctrl + 1
Ctrl + 2,Ctrl,,,,Ctrl + 2
Ctrl + 3,Ctrl,,,,Ctrl + 3
Ctrl + 4,Ctrl,,,,Ctrl + 4
Ctrl + 5,Ctrl,,,,Ctrl + 5
Ctrl + 6,Ctrl,,,,Ctrl + 6
Ctrl + 7,Ctrl,,,,Ctrl + 7
Ctrl + 8,Ctrl,,,,Ctrl + 8
Ctrl + 9,Ctrl,,,,Ctrl + 9
Ctrl + ;,Ctrl,,,,Ctrl + ;
Ctrl + A,Ctrl,,,,Ctrl + A
Ctrl + Alt + O,Ctrl Alt,,,,Ctrl + Alt + O
Ctrl + Alt + PgUp Ctrl + Alt + PgDn,Ctrl Alt Ctrl Alt,,,,Ctrl + Alt + PgUp Ctrl + Alt + PgDn
Ctrl + C,Ctrl,,,,Ctrl + C
Ctrl + D,Ctrl,,,,Ctrl + D
Ctrl + E,Ctrl,,,,Ctrl + E
Ctrl + F,Ctrl+F,,,,Ctrl + F
Ctrl + G,Ctrl,,,,Ctrl + G
Ctrl + H,Ctrl,,,,Ctrl + H
Ctrl + I,Ctrl,,,,Ctrl + I
Ctrl + L,Ctrl,,,,Ctrl + L
Ctrl + M,Ctrl,,,,Ctrl + M
Ctrl + N,Ctrl,,,,Ctrl + N
Ctrl + O,Ctrl,,,,Ctrl + O
Ctrl + Q,Ctrl,,,,Ctrl + Q
Ctrl + R,Ctrl+R,,,,Ctrl + R
Ctrl + S,Ctrl,,,,Ctrl + S
Ctrl + T,Ctrl,,,,Ctrl + T
Ctrl + V,Ctrl,,,,Ctrl + V
Ctrl + W,Ctrl,,,,Ctrl + W
Ctrl + X,Ctrl,,,,Ctrl + X
Ctrl + Y,Ctrl,,,,Ctrl + Y
Ctrl + Z,Ctrl,,,,Ctrl + Z
Ctrl + click,Ctrl,Shift + クリック,Ctrl + 点击,,Ctrl + click
Ctrl + left arrow,Ctrl,,,,Ctrl + left arrow
Ctrl + right arrow,Ctrl,,,,Ctrl + right arrow
Ctrl -click on a color entry,Ctrl,Ctrl キーを押しながら色見出しをクリック,,,Ctrl -click on a color entry
Ctrl ; Alt,Ctrl Alt,,,,Ctrl ; Alt
Ctrl-Q,Ctrl+Q,,,,Ctrl-Q
Cuamba,,,,庫安巴,Cuamba
Cuba,,キューバ,古巴,古巴,Cuba
Cube,Cubo,,正方体,,Cube
Cubic,Cúbica,キュービック,立方,立方,Cubic
Cubicinterpolation-type,Cúbicainterpolation-type,キュービックinterpolation-type,立方interpolation-type,立方interpolation-type,Cubicinterpolation-type
Cuernavaca,,クエルナバカ,库埃纳瓦卡,奎納瓦卡,Cuernavaca
Cuiabá,,クイアバ,库亚巴,古雅巴,Cuiabá
Cul 'Man,Cul'Man,,,,Cul 'Man
Culiacán,,クリアカン,,古拉坎,Culiacán
"CuliacánCity in Durango , Mexico",,"クリアカンCity in Durango , Mexico","库利亚坎City in Durango , Mexico","古拉坎City in Durango , Mexico","CuliacánCity in Durango , Mexico"
Cullman,,カルマン,卡尔曼,克爾曼,Cullman
Culpeper,,カルペパー,卡尔佩珀,卡爾珮珀市,Culpeper
Cumana,,クマナ,库马纳,庫馬納,Cumana
Cumulative,Acumulativo,累積,累积的,累計,Cumulative
Cuneo,,クネオ,库尼奥,庫尼奧,Cuneo
Cupe Coy,,,,庫尼奧,Cupe Coy
Curacao,Curaçao,キュラソー,,古拉索,Curacao
Curico,,クリコ,,庫利科,Curico
Curitiba,,クリティバ,库里提巴,古里提巴,Curitiba
Curitiba Airport,"Curitiba , aeropuerto",,,,Curitiba Airport
Curl Location,,めくる位置,,,Curl Location
Curl Orientation,,めくる向き,,,Curl Orientation
Currency,,通貨,货币,貨幣,Currency
Currency Rate,,,汇率,貨幣匯率,Currency Rate
Currency of the current calculation,,,,目前計算的貨幣,Currency of the current calculation
Currency to convert the current calculation into,,,,要將目前計算結果換算為貨幣,Currency to convert the current calculation into
Current,Actual,,当前,目前,Current
Current :,Actual :,現在 :,当前 ：,目前顏色 :,Current :
Current Account,Cuenta actual,,当前帐号,,Current Account
Current Album,Álbum actual,現在のアルバム,当前专辑,目前的專輯,Current Album
Current Alpha,Alfa actual,現在のアルファ値,当前 Alpha 值,目前的透明度,Current Alpha
Current Colour,Color actual,現在の色,当前颜色,目前的顏色,Current color
Current Development :,,,当前开发 :,目前顯影 ：,Current Development :
Current Locale,Configuración regional actual,現在利用しているロケール,当前 Locale,本地設置,Current Locale
Current Locale :,,現在のロケール :,当前颜色终值,目前地域 ：,Current Locale :
Current Page,Página actual,現在のページ,当前页,目前的頁面,Current Page
Current Player,,現在のプレイヤー,,目前玩家,Current Player
Current RGBA,RGBA actual,現在のアルファ値,当前 RGBA,目前的 RGBA,Current RGBA
Current RGBA Colour,Color RGBA actual,現在の色,当前 RGBA 颜色,目前的 RGBA 顏色,Current RGBA color
Current Time :,Hora actual :,現在の時刻,当前时间 ：,目前的時刻 :,Current Time :
Current Track,,現在のトラック,当前音轨,目前的曲目,Current Track
Current View,,,当前视图,目前檢視,Current View
Current activity,,,当前活动,目前的活動,Current activity
Current charge :,Carga actual :,携帯の充電,当前充电 ：,目前充電 ：,Current charge :
Current colour,Color actual,現在の色,当前颜色,目前的顏色,Current color
Current height :,,現在の高さ :,下一帧,新的高度 ：,Current height :
Current layer only,Sólo la capa actual,現在のレイヤーのみ,,,Current layer only
Current line,,,当前行,當前的行,Current line
Current page,Página actual,印刷する範囲,当前页,目前頁面,Current page
Current temperature .,Temperatura actual .,,,,Current temperature .
Current text of the buffer,,バッファにあるテキスト,缓冲区的当前文字,緩衝區目前的文字,Current text of the buffer
Current theme,Tema actual,現在のテーマ,当前主题,目前的佈景主題,Current theme
Current-match colour,,,当前匹配的颜色,表示目前符合的色彩,Current-match color
Currituck,,,柯里塔克,克拉塔克,Currituck
Curuzu Cuatia,,クルスクアチア,,庫魯蘇瓜帝亞,Curuzu Cuatia
Curve,Curva,カーブ,,,Curve
Curve Type,,カーブタイプ,,,Curve Type
Curve type,,曲線タイプ,曲线类型,曲線類型,Curve type
Cut,Cortar,選択範囲を切り取ります,剪切,剪下,Cut
Cut Bank,,カットバンク,卡特班克,刻特班,Cut Bank
Cut BeginCut Linecut,,,开始剪切Cut Linecut,剪下開頭Cut Linecut,Cut BeginCut Linecut
Cut Line,,,剪切行,剪下行,Cut Line
Cut a clip,,クリップの切り取り,,,Cut a clip
Cut layer content,,レイヤー内容の切り取り,,,Cut layer content
Cut the Selection,,選択範囲の切り取り,剪切选中内容,剪下選定的內容,Cut the Selection
Cutler,Cortar,切り取り,剪切,,Cutler
Cuxhaven,,クックスハーフェン,,庫克斯港,Cuxhaven
Cuyahoga,,カイヤホガ,,蓋雅荷加,Cuyahoga
Cuzco,,クスコ,库斯科,庫斯科,Cuzco
Cyan,Cian,シアン,青色,氰藍,Cyan
Cyan component,Componente cian,シアン成分,青色成分,,Cyan component
Cycling,,,自行车,,Cycling
Cyclobutane,Ciclobutano,シクロブタン,环丁烷,環丁烷,Cyclobutane
Cyrillic,Cirílico,キリル語,斯拉夫语,斯拉夫文字,Cyrillic
Cze,Che,,,,Cze
Czech,Checo,チェコ語,捷克语,捷克文,Czech
Czech Koruna,,,,捷克克朗,Czech Koruna
Czech Republic,República checa,チェコ共和国,捷克共和国,捷克共和國,Czech Republic
"Czech Republic , Koruny",,"チェコ共和国 , コルナ",捷克 koruny,,"Czech Republic , Koruny"
Czech Sun keymap,,チェコ語 Sun キーマップ,捷克 Sun 键盘映射,捷克文 Sun 鍵盤對應表,Czech Sun keymap
Czech keymap,,チェコ語キーマップ,捷克键盘映射,捷克文鍵盤對應表,Czech keymap
Czech koruna,,,,捷克克朗,Czech koruna
Czechia,Checo,チェコ語,捷克,捷克語,Czechia
Cúcuta,,,库库塔,古庫塔,Cúcuta
DAAP Sharing,Compartición DAAP,DAAP共有,DAAP 分享,DAAP 分享,DAAP Sharing
DAR archive,,DAR アーカイブ,DAR 归档文件,DAR 封存檔,DAR archive
DAY,DÍA,,,,DAY
DAYS,DÍAS,,天数,日數,DAYS
DCT algorithm :,,DCT アルゴリズム :,,,DCT algorithm :
DEBUG,,,调试,偵錯,DEBUG
DELAY,,,,延遲,DELAY
DEST,DESTINO,,,目的端,DEST
DEVICE,DISPOSITIVO,,设备,裝置,DEVICE
DIB image,imagen DIB,DIB 画像,DIB 图像,DIB 影像,DIB image
DICOM image,imagen DICOM,DICOM 画像,DICOM 图像,DICOM 影像,DICOM image
DIR,,,目录,,DIR
DIRECTORY,CARPETA,,目录,目錄,DIRECTORY
DIRNAME,NOMBREDIR,,目录名,目錄,DIRNAME
DISK FAILURE IS IMMINENT,EL FALLO DEL DISCO ES INMINENTE,,磁盘故障即将发生,,DISK FAILURE IS IMMINENT
DISK FAILURE IS IMMINENTblank,EL FALLO DEL DISCO ES INMINENTEblank,ディスクが故障しかけていますblank,磁盘故障即将发生blank,磁碟機隨時會壞掉blank,DISK FAILURE IS IMMINENTblank
DISK HAS MANY BAD SECTORS,EL DISCO TIENE MUCHOS SECTORES ERRÓNEOS,ディスクに多くのバッドセクタがあります,磁盘上有许多的坏扇区,磁碟有許多壞的磁區 ！,DISK HAS MANY BAD SECTORS
